"MEDV","CRIM","INDUS","CHAS","NOX","RM","AGE","DIS","RAD","TAX","PTRATIO","LANDMARK"
300,51.1358,18.1,"no",0.597,5.757,100,1.413,24,666,20.2,"No Landmark"
230,8.15174,18.1,"no",0.7,5.39,98.9,1.7281,24,666,20.2,"No Landmark"
278,15.288,18.1,"no",0.671,6.649,93.3,1.3449,24,666,20.2,"No Landmark"
424,0.23912,9.69,"no",0.585,6.019,65.3,2.4091,6,391,19.2,"No Landmark"
270,1.61282,8.14,"no",0.538,6.096,96.9,3.7598,4,307,21,"No Landmark"
698,0.0315,1.47,"no",0.403,6.975,15.3,7.6534,3,402,17,"Park"
408,0.13058,10.01,"no",0.547,5.872,73.1,2.4775,6,432,17.8,"No Landmark"
416,12.0482,18.1,"no",0.614,5.648,87.6,1.9512,24,666,20.2,"No Landmark"
496,0.21409,5.86,"no",0.431,6.438,8.9,7.3967,7,330,19.1,"No Landmark"
856,0.36894,5.86,"no",0.431,8.259,8.4,8.9067,7,330,19.1,"Park"
396,0.04544,3.24,"no",0.46,6.144,32.2,5.8736,4,430,16.9,"No Landmark"
370,0.14231,10.01,"no",0.547,6.254,84.2,2.2565,6,432,17.8,"No Landmark"
332,0.67191,8.14,"no",0.538,5.813,90.3,4.682,4,307,21,"No Landmark"
442,0.79041,9.9,"no",0.544,6.122,52.8,2.6403,4,304,18.4,"No Landmark"
190,9.33889,18.1,"no",0.679,6.38,95.6,1.9682,24,666,20.2,"No Landmark"
698,0.0837,3.44,"no",0.437,7.185,38.9,4.5667,5,398,15.2,"Park"
934,0.29819,6.2,"no",0.504,7.686,17,3.3751,8,307,17.4,"Stadium"
262,23.6482,18.1,"no",0.671,6.38,96.2,1.3861,24,666,20.2,"No Landmark"
322,5.09017,18.1,"no",0.713,6.297,91.8,2.3682,24,666,20.2,"No Landmark"
170,41.5292,18.1,"no",0.693,5.531,85.4,1.6074,24,666,20.2,"No Landmark"
558,0.03615,4.95,"no",0.411,6.63,23.4,5.1167,4,245,19.2,"Shopping Mall"
444,0.11027,5.13,"no",0.453,6.456,67.8,7.2255,8,284,19.7,"No Landmark"
472,0.09178,4.05,"no",0.51,6.416,84.1,2.6463,5,296,16.6,"No Landmark"
506,0.1415,6.91,"no",0.448,6.169,6.6,5.7209,3,233,17.9,"Shopping Mall"
1000,8.26725,18.1,"yes",0.668,5.875,89.6,1.1296,24,666,20.2,"Museum"
298,9.51363,18.1,"no",0.713,6.728,94.1,2.4961,24,666,20.2,"No Landmark"
220,7.36711,18.1,"no",0.679,6.193,78.1,1.9356,24,666,20.2,"No Landmark"
300,0.22489,7.87,"no",0.524,6.377,94.3,6.3467,5,311,15.2,"No Landmark"
550,0.62356,6.2,"yes",0.507,6.879,77.7,3.2721,8,307,17.4,"Shopping Mall"
268,3.32105,19.58,"yes",0.871,5.403,100,1.3216,5,403,14.7,"No Landmark"
290,8.49213,18.1,"no",0.584,6.348,86.1,2.0527,24,666,20.2,"No Landmark"
284,7.02259,18.1,"no",0.718,6.006,95.3,1.8746,24,666,20.2,"No Landmark"
456,0.09164,10.81,"no",0.413,6.065,7.8,5.2873,4,305,19.2,"No Landmark"
482,0.07896,12.83,"no",0.437,6.273,6,4.2515,5,398,18.7,"No Landmark"
588,0.06664,4.05,"no",0.51,6.546,33.1,3.1323,5,296,16.6,"Shopping Mall"
428,0.09512,12.83,"no",0.437,6.286,45,4.5026,5,398,18.7,"No Landmark"
668,0.03237,2.18,"no",0.458,6.998,45.8,6.0622,3,222,18.7,"Park"
462,0.0187,4.15,"no",0.429,6.516,27.7,8.5353,4,351,17.9,"No Landmark"
458,0.06211,1.25,"no",0.429,6.49,44.4,8.7921,1,335,19.7,"No Landmark"
380,3.77498,18.1,"no",0.655,5.952,84.7,2.8715,24,666,20.2,"No Landmark"
388,0.03466,6.06,"no",0.4379,6.031,23.3,6.6407,1,304,16.9,"No Landmark"
332,0.22927,6.91,"no",0.448,6.03,85.5,5.6894,3,233,17.9,"No Landmark"
410,0.04337,5.64,"no",0.439,6.115,63,6.8147,4,243,16.8,"No Landmark"
282,9.32909,18.1,"no",0.713,6.185,98.7,2.2616,24,666,20.2,"No Landmark"
368,0.77299,8.14,"no",0.538,6.495,94.4,4.4547,4,307,21,"No Landmark"
252,9.92485,18.1,"no",0.74,6.251,96.6,2.198,24,666,20.2,"No Landmark"
730,0.55007,3.97,"no",0.647,7.206,91.6,1.9301,5,264,13,"Park"
774,0.12083,2.89,"no",0.445,8.069,76,3.4952,2,276,18,"Park"
482,0.0795,1.69,"no",0.411,6.579,35.9,10.7103,4,411,18.3,"No Landmark"
